,lat,lon
#DML1 ,43.01222112,-87.96359474
#PWA1 ,47.24537658,-122.4005728
#DSE4 ,47.937347,-122.244563
#DDC4 ,38.985,-77.472643
#HDC1 ,38.79869257,-77.17694758
#PTX1 ,32.633978,-96.798215
#DDA2 ,32.8935685,-96.68919911
#XUSB ,32.81828025,-97.04287285
#DDA8 ,32.7793384,-96.66851737
#STX2 ,32.94362466,-96.91640611
#DNA1 ,36.22050196,-86.7822968
#STN1 ,36.1060359,-86.6784339
#DPP1 ,40.530888,-80.138852
#PPA1 ,41.13211089,-75.88838989
#XUSC ,40.18892455,-77.22594569
#DOK1 ,35.581119,-97.439644
#POH1 ,39.88711017,-82.95443421
#ACY1 ,39.82766793,-75.22040676
#TEB3 ,39.7083176,-75.3175425
#TEB6 ,40.298435,-74.495645
#ACY2 ,40.082259,-74.843412
#DET2 ,42.666239,-83.049924
#DBO2 ,42.23294779,-71.14020003
#HSE1 ,39.7017984,-77.7283121
#HBA1 ,39.48087225,-76.1828826
#IVSB/#HCN1 ,39.065813,-84.7027575
#LEX1/LEX3 ,38.07784,-84.533109
#IVSA ,39.04278463,-84.61868943
#MKC4 ,38.772664,-94.9459228
#MKC6 ,39.10220149,-94.73991855
#DSM5 ,41.64649141,-93.48469083
#DIN3 ,41.75072065,-86.32625149
#XUSE ,39.978506,-86.394556
#PIN1 ,39.67188625,-86.30463048
#DIN1 ,39.89897275,-86.26412427
#HMW1 ,41.337847,-88.208387
#MDW4 ,41.49343523,-88.04297218
#PIL1 ,42.22044557,-88.06161683
#MDW7 ,41.420034,-87.7417115
#MDW6 ,41.64417611,-88.09109691
#DIL7 ,42.017671,-87.720157
#MDW8 ,42.329672,-87.902409
#MDW8 ,42.329672,-87.902409
#STL4,38.77187085,-90.04064685
#STL6/STL7/HLU1,38.78414295,-90.07705049
#MDW5 ,41.578446,-88.136743
#MDW9 ,41.8149559,-88.21278735
#MGE3 ,34.1769054,-83.60294709
#MGE1/MGE7 ,34.10540732,-83.77667532
#PGA1 ,33.710334,-84.586956
#UFL4/SFL1 ,28.46066735,-81.44063192
#DCS3 ,38.769112,-104.714309
