,lat,lon
#DML1 ,43.01222112,-87.96359474
#PWA1 ,47.24537658,-122.4005728
#DSE4 ,47.937347,-122.244563
#DDC4 ,38.985,-77.472643
#HDC1 ,38.79869257,-77.17694758
#PTX1 ,32.633978,-96.798215
#DDA2 ,32.8935685,-96.68919911
#XUSB ,32.81828025,-97.04287285
#DDA8 ,32.7793384,-96.66851737
#STX2 ,32.94362466,-96.91640611
#DNA1 ,36.22050196,-86.7822968
#STN1 ,36.1060359,-86.6784339
#DPP1 ,40.530888,-80.138852
#PPA1 ,41.13211089,-75.88838989
#XUSC ,40.18892455,-77.22594569
#DOK1 ,35.581119,-97.439644
#POH1 ,39.88711017,-82.95443421
#ACY1 ,39.82766793,-75.22040676
#TEB3 ,39.7083176,-75.3175425
#TEB6 ,40.298435,-74.495645
#ACY2 ,40.082259,-74.843412
#DET2 ,42.666239,-83.049924
#DBO2 ,42.23294779,-71.14020003
#HSE1 ,39.7017984,-77.7283121
#HBA1 ,39.48087225,-76.1828826
#IVSB/#HCN1 ,39.065813,-84.7027575
#LEX1/LEX3 ,38.07784,-84.533109
#IVSA ,39.04278463,-84.61868943
#MKC4 ,38.772664,-94.9459228
#MKC6 ,39.10220149,-94.73991855
#DSM5 ,41.64649141,-93.48469083
#DIN3 ,41.75072065,-86.32625149
#XUSE ,39.978506,-86.394556
#PIN1 ,39.67188625,-86.30463048
#DIN1 ,39.89897275,-86.26412427
#HMW1 ,41.337847,-88.208387
#MDW4 ,41.49343523,-88.04297218
#PIL1 ,42.22044557,-88.06161683
#MDW7 ,41.420034,-87.7417115
#MDW6 ,41.64417611,-88.09109691
#DIL7 ,42.017671,-87.720157
#MDW8 ,42.329672,-87.902409
#MDW8 ,42.329672,-87.902409
#STL4,38.77187085,-90.04064685
#STL6/STL7/HLU1,38.78414295,-90.07705049
#MDW5 ,41.578446,-88.136743
#MDW9 ,41.8149559,-88.21278735
#MGE3 ,34.1769054,-83.60294709
#MGE1/MGE7 ,34.10540732,-83.77667532
#PGA1 ,33.710334,-84.586956
#UFL4/SFL1 ,28.46066735,-81.44063192
#DCS3 ,38.769112,-104.714309
"#DDV5 2889 Himalaya Dr, Aurora, CO 80011",37.74655235,-121.411057
#PCA1 ,37.9166607,-121.2504044
#XUSD ,34.20292332,-118.9292408
#DPS3 ,34.079646,-117.2753207
#SNA7/SNA8/LGB5/KRB1 ,37.9131051,-121.202212
#SCK1 ,34.08597282,-117.2586525
#PCA2 ,34.08026134,-117.2645721
#ONT2/3/4/7 ,33.788672,-117.226096
#LGB9 ,33.832548,-118.22829
#LGB1 ,37.81623435,-121.2217882
#SCK3 ,33.871059,-117.235499
#ONT6/HLA3 ,34.079775,-117.204246
#LGB4 ,34.0771837,-117.2295503
#ONT9 ,33.878801,-117.299954
#LGB6 ,34.1225945,-117.4097502
#LGB7 ,34.13130945,-117.4220714
#SNA4 ,34.772967,-92.260243
#DLR1 ,33.415919,-112.063356
#VAZ1 ,33.3754408,-112.3665406
#GYR1 ,33.45750985,-112.2333065
#GYR3 ,33.4431091,-111.9790887
#UAZ1 ,33.415919,-112.063356
#SAZ1 ,33.43117995,-112.1594932
#TFC1 ,33.453143,-112.188746
#AZA5 ,,
