,lat,lon
#PHX5 ,33.4112928,-112.4203625
​#PHX3 ,33.43332425,-112.2077965
#PHX6 ,33.43252995,-112.1647528
#PHX7 & PHX8 ,33.45707855,-112.2253997
#TUS1 ,33.4223523,-112.1752152
#PHX9 ,33.44118,-112.228426
#TUS2 ,32.130168,-110.83932
#PHX8 ,33.45707855,-112.2253997
#LIT1 ,34.69840225,-92.20854629
#LIT2 ,34.77250173,-92.12010346
#BFL1 ,35.44847769,-119.0439877
#LAX9 ,34.05123305,-117.4462896
#FAT1 ,36.68351709,-119.763807
#OAK3 ,37.46984,-121.165319
#SMF1 ,38.67925645,-121.5728357
#SMF3 ,37.952549,-121.251067
#OAK4/OAK6 ,37.7430048,-121.4047365
#SJC7 ,37.7757374,-121.531545
#DEN2 ,39.74346151,-104.7131845
#DEN5 ,39.7676734,-104.7557452
#DEN3 ,39.9608062,-104.9851856
#BDL1 ,41.8776176,-72.7064687
#BDL3 ,41.40730582,-72.84513361
#BDL2 ,41.87244235,-72.70808901
#BDL4 ,41.89766084,-72.6526124
#BDL5 ,41.495982,-72.761114
#PHL7/PHL9 ,39.438616,-75.73298
#PHL8 ,39.45848067,-75.71945985
#PHL1 ,39.6639211,-75.590196
#PHL3 ,39.66211177,-75.58775914
#MCO5 ,28.251497,-81.664166
#MCO9 ,28.228907,-81.659272
#JAX2 ,30.4653236,-81.6802939
#JAX3 ,30.28685286,-81.83738556
#JAX5 ,30.3851143,-81.7886309
#TPA2/#LAL1 ,28.02003115,-82.05383755
#MIA1,25.9029735,-80.2602148
#MCO1,28.3842612,-81.31648505
#TPA1 ,27.728269,-82.388158
#ATL6 ,33.643547,-84.500137
#ATL8 ,33.7968104,-84.6421477
#SAV3 ,32.7204295,-83.72553902
#ATL2 ,33.812174,-84.114633
#ATL7 ,33.5674116,-84.5396646
#BOI2 ,43.60492156,-116.4996887
#ORD2 ,41.47134785,-88.23356107
#ORD9 ,41.4371847,-88.1871526
#IND9 ,39.59738564,-86.13220564
#IND4/IND8 ,39.755392,-86.29286
#IND7 ,39.7312371,-86.25573182
#SDF8 ,38.3789,-85.687152
#IND2/#IND3 ,39.70837086,-86.34626871
#IND5 ,39.694918,-86.358369
#IND1 ,39.9796754,-86.37965451
#MCI5 ,38.9212815,-94.78268286
#SDF1 ,37.32745696,-85.3518622
#CVG8 ,38.981839,-84.628905
#CVG1 ,39.0846526,-84.71347803
#CVG2 ,39.08744035,-84.72582072
#CVG3 ,39.06018198,-84.71351279
#SDF2 ,38.195148,-85.692734
#SDF4 ,38.0005429,-85.7153512
#SDF6 ,37.978102,-85.683543
#SDF7 ,37.9638046,-85.6758038
#SDF9 ,37.9885936,-85.7158246
#BWI2 ,39.26765755,-76.5490453
#MDT2 ,39.5992989,-75.9424217
#DCA1 ,39.22189059,-76.46867141
#BOS7 ,41.761721,-71.099637
#BOS5 ,42.148912,-71.062071
#DTW5 ,42.159635,-83.238271
#GRR1 ,42.838375,-85.550168
#DET1 ,42.3743432,-83.4288557
#DTW1 ,42.252449,-83.36219
#MSP9 ,45.1197207,-93.38512806
#MSP1 ,44.80059945,-93.48865501
#MEM2 ,34.8723179,-89.6906396
#MEM6 ,34.9617605,-89.8295315
#STL8 ,38.8090255,-90.57173361
#LAS1 ,36.61658561,-110.7164332
#LAS2 ,36.228138,-115.105339
#LAS6 ,36.26695,-115.074295
#LAS7 ,36.2659488,-115.0409794
#RNO4 ,39.60386855,-119.8484185
#RNO3 ,39.551766,-119.453978
#BOS1 ,42.7919638,-71.52946435
#EWR6/EWR7 ,40.582619,-74.257478
#EWR9 & #LGA6 ,40.596692,-74.226742
#LGA7 ,40.56934732,-74.2205866
#LGA9 ,40.524041,-74.389511
#EWR1 ,40.195608,-74.565267
#EWR4 ,40.195608,-74.565267
#EWR8 ,40.857483,-74.06003621
#BUF5,42.9216794,-78.62462895
#SYR1 ,43.1200766,-76.2056069
#JFK8/DYY6 ,40.619171,-74.187096
#CLT4 ,35.244659,-80.959427
#CLT9 ,35.261079,-80.984199
#CLT3 ,35.437409,-80.686778
#CTL5 ,35.391014,-80.7186896
#RDU5 ,35.922153,-78.833104
#RDU1 ,35.71837916,-78.58936072
#GSO1 ,36.110119,-80.051768
#AKC1 ,41.04767537,-81.58093609
#CMH1 ,39.95681116,-82.71457051
#CLE3 ,41.59291161,-81.51163841
#CMH6/HCM1 ,39.782336,-82.94783
#CMH3 ,39.42815355,-84.3304268
#CLE2 ,41.4325677,-81.53186129
#CMH2 ,39.848551,-82.932181
#CLE5 ,41.30542925,-81.46573028
#CMH4 ,39.943058,-83.301559
#OKC1 ,35.374806,-97.581178
#OKC5 ,35.451373,-97.653107
#TUL2 ,36.214815,-95.844314
#PDX5 ,45.55870705,-122.9196765
#PDX6/HPD1 ,45.630636,-122.763633
#PDX7 ,44.902319,-122.963682
