zip,lat,lng,population
77494,29.74566,-95.82302,126310
77449,29.83674,-95.73547,123157
75034,33.12084,-96.83778,116155
90011,34.00689,-118.25861,110750
75070,33.15587,-96.69742,109085
79936,31.77373,-106.29631,108668
11368,40.74962,-73.85264,108661
77084,29.82698,-95.6612,108161
60629,41.7754,-87.71239,107930
11385,40.70103,-73.89011,105025
11211,40.71428,-73.94602,104561
90650,33.90703,-118.08249,104524
8701,40.07635,-74.20311,104186
91331,34.25602,-118.41939,103683
11208,40.67481,-73.87243,102626
78660,30.44361,-97.59558,101937
10467,40.87522,-73.872,100867
90201,33.97113,-118.1709,100512
90044,33.95253,-118.29194,99980
92335,34.08733,-117.46519,99242
37013,36.04658,-86.63445,99109
11236,40.63951,-73.90098,98821
92336,34.13686,-117.46033,98731
94565,38.00926,-121.92886,97249
11373,40.73892,-73.87854,96495
11226,40.64636,-73.95666,96332
77479,29.56503,-95.6346,95615
90250,33.91383,-118.34996,95115
90805,33.86494,-118.18051,95094
90280,33.94453,-118.19256,94905
60618,41.94694,-87.70263,94646
91342,34.31778,-118.39207,94432
77433,29.9492,-95.73979,94345
75052,32.66455,-97.02809,94060
30044,33.92207,-84.06924,93987
92503,33.88308,-117.45222,93032
10025,40.79825,-73.96831,92162
77584,29.54577,-95.35013,91993
29483,33.03126,-80.23205,91630
77573,29.50213,-95.08636,91454
11207,40.67016,-73.89383,90867
92683,33.75242,-117.99383,90833
11220,40.64142,-74.01741,90657
77429,29.99068,-95.65808,90506
91710,34.00507,-117.68249,90481
10456,40.83064,-73.90812,90479
11214,40.59928,-73.99644,90372
11234,40.6072,-73.91107,90372
10314,40.60086,-74.16306,89938
92154,32.578,-116.96621,89886
78521,25.95109,-97.32078,89629
926,18.34691,-66.05434,89327
91911,32.60686,-117.04984,88593
60639,41.9206,-87.75593,88515
30043,34.00353,-84.00703,88276
92804,33.81801,-117.97517,88173
11219,40.63267,-73.99672,87812
11206,40.7019,-73.94254,87599
11230,40.6221,-73.96525,87188
75217,32.71291,-96.68243,86811
92376,34.11053,-117.37997,86719
60632,41.81141,-87.71348,86715
93307,35.2487,-118.93253,86273
92592,33.511,-117.0242,86115
92704,33.72038,-117.90807,85935
10458,40.86249,-73.88643,85893
93722,36.80003,-119.87791,85811
60647,41.92074,-87.702,85658
11221,40.6914,-73.92764,85582
94112,37.7206,-122.44311,85053
93033,34.15401,-119.12296,84902
93727,36.75119,-119.69736,84656
95076,36.94029,-121.75089,84281
78613,30.50683,-97.81939,83876
92345,34.36415,-117.30984,83731
91744,34.02914,-117.93735,83396
79938,31.85764,-106.03895,83326
92126,32.912,-117.14344,83257
91709,33.95105,-117.72549,82800
66062,38.83677,-94.78455,82591
77379,30.03966,-95.53305,82493
92509,34.00293,-117.44547,82377
60617,41.71337,-87.55618,82101
22193,38.64233,-77.34881,82060
11377,40.74483,-73.90516,82021
11229,40.60047,-73.94453,81909
78666,29.8826,-97.97974,81844
99301,46.39184,-118.93509,81583
60804,41.84005,-87.75925,81505
11355,40.75143,-73.82125,81358
27610,35.7435,-78.54644,80973
91335,34.20107,-118.5407,80937
95823,38.47473,-121.44266,80842
78542,26.44412,-98.09163,80837
37042,36.56894,-87.41225,80661
30024,34.06341,-84.09116,80598
11223,40.59711,-73.97344,80500
75035,33.15814,-96.7734,80269
78572,26.19848,-98.35633,80135
60608,41.84887,-87.67139,80011
79912,31.84839,-106.53272,79861
11233,40.67827,-73.91994,79796
78130,29.69224,-98.06877,79786
95630,38.66558,-121.141,79584
725,18.22052,-66.03962,79395
28269,35.33747,-80.8026,79059
10453,40.85248,-73.9133,78858
60625,41.97318,-87.69963,78820
76244,32.93101,-97.28076,78815
10468,40.8681,-73.89985,78778
47906,40.48541,-86.98584,78767
78577,26.1665,-98.19082,78731
94533,38.28132,-122.00693,78695
78641,30.55851,-97.91473,78568
94544,37.63352,-122.05678,78333
77083,29.69316,-95.64858,78240
75211,32.73649,-96.90214,77920
60623,41.84793,-87.71753,77732
87121,35.01031,-106.87816,77671
23464,36.79732,-76.17899,77623
11203,40.64958,-73.93431,77589
85142,33.19302,-111.66645,77101
11235,40.58411,-73.94331,76921
77459,29.52691,-95.53407,76662
76063,32.56913,-97.14376,76609
91706,34.09627,-117.96855,76581
78245,29.40106,-98.73549,76392
90706,33.88802,-118.12709,76339
96706,21.34033,-158.01704,76081
92105,32.73756,-117.09193,75990
11204,40.61883,-73.98496,75840
77450,29.74753,-95.73696,75752
33311,26.14412,-80.17319,75705
33024,26.02501,-80.24475,75701
30349,33.62346,-84.52591,75647
93550,34.38305,-118.04926,75617
60634,41.94627,-87.80639,75604
93257,35.98708,-118.89493,75483
10462,40.84297,-73.85873,75441
95035,37.44319,-121.87632,75367
75228,32.82456,-96.6805,75303
89108,36.20508,-115.2237,75201
37211,36.06704,-86.72345,75199
93274,36.17978,-119.37949,75068
94587,37.59142,-122.06993,75067
63376,38.80022,-90.61636,75031
93535,34.69908,-117.89613,74944
33023,25.98812,-80.21263,74913
91730,34.10023,-117.5811,74843
34787,28.48309,-81.62833,74842
92882,33.86367,-117.59989,74742
10457,40.84571,-73.89794,74679
10029,40.79265,-73.94788,74617
33012,25.86583,-80.30247,74603
92805,33.83003,-117.90568,74557
33411,26.71517,-80.20305,74554
