Total demand	5714.285714285696
Total restock	5999.999999999994
MP	false
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5726	5726	5927	5927	0	0	0
1	5983	5649	6507	5972	5392	5392	0
2	6186	5671	6918	5879	8257	5468	0
3	6495	5775	7324	5872	10031	5466	1532
4	6624	5707	7438	5692	10880	5578	2911
5	6865	5763	7738	5822	11416	5522	3197
6	6979	5642	7928	5718	11902	5528	3548
7	7141	5626	8044	5580	12209	5464	3809
8	7262	5676	8213	5724	12775	5555	3887
9	7403	5673	8234	5553	13137	5532	4092
10	7448	5597	8355	5673	13532	5552	4298
11	7728	5788	8244	5397	13685	5508	4496
12	7800	5632	8219	5535	13926	5560	4528
13	7963	5740	8291	5649	14161	5577	4609
14	8189	5733	8452	5668	14243	5507	4655
15	8293	5653	8483	5580	14487	5549	4718
16	8437	5671	8596	5640	14652	5527	4733
17	8637	5732	8605	5541	14898	5532	4810
18	8681	5614	8638	5603	14925	5570	4991
19	8999	5829	8699	5572	15000	5511	4914
20	9132	5699	8609	5476	15157	5566	4918
21	9315	5660	8765	5633	15161	5477	4987
22	9490	5794	8858	5712	15396	5619	4877
23	9651	5699	8920	5600	15533	5538	4967
24	9841	5748	9021	5659	15729	5558	4974
25	9892	5619	8910	5457	15884	5568	5066
26	10175	5746	9139	5692	16009	5463	5069
27	10408	5758	9116	5502	16022	5525	5227
28	10581	5677	9240	5628	16212	5504	5104
29	10718	5750	9195	5568	16534	5613	5100
30	10783	5634	9131	5505	16819	5569	5058
31	11191	5884	9166	5511	16902	5476	5256
32	11169	5620	9084	5560	17275	5642	5140
33	11434	5763	9162	5576	17293	5498	5340
34	11724	5896	9031	5475	17744	5606	5099
35	11857	5745	8938	5519	17994	5612	5291
36	11960	5680	8846	5485	18290	5577	5244
37	12119	5710	8865	5570	18574	5551	5254
38	12276	5685	8849	5512	18804	5528	5291
39	12395	5709	8896	5637	19160	5590	5221
40	12567	5762	8845	5539	19422	5590	5327
