Total demand	5454.545454545457
Total restock	5999.9999999999945
MP	false
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5457	5457	5927	5927	0	0	0
1	5606	5407	6605	5936	5258	5258	0
2	5680	5414	7118	5853	8158	5340	0
3	5919	5538	7631	5812	9878	5299	1535
4	5873	5429	7703	5547	10744	5475	2941
5	5986	5476	8037	5697	11116	5363	3264
6	5967	5425	8233	5640	11725	5444	3477
7	6026	5379	8442	5529	11838	5320	3899
8	6102	5428	8656	5566	12292	5352	3902
9	6183	5410	8803	5476	12525	5329	4156
10	6165	5346	9013	5574	12838	5364	4311
11	6379	5499	9030	5302	12865	5285	4550
12	6393	5375	9032	5363	13066	5361	4521
13	6530	5464	9194	5489	13222	5327	4565
14	6641	5467	9300	5462	13271	5356	4686
15	6662	5395	9274	5348	13406	5374	4705
16	6733	5399	9424	5478	13483	5328	4730
17	6890	5459	9450	5328	13572	5302	4835
18	6891	5346	9536	5431	13579	5345	4896
19	7163	5568	9628	5388	13501	5296	4949
20	7164	5431	9481	5283	13649	5430	4879
21	7277	5406	9603	5415	13591	5293	4918
22	7417	5515	9714	5486	13719	5375	4804
23	7539	5469	9808	5441	13717	5347	5012
24	7552	5483	9917	5579	13952	5470	4918
25	7570	5360	9861	5286	13895	5342	5072
26	7854	5491	10163	5509	13958	5207	4955
27	7943	5481	10046	5275	13942	5392	5194
28	7990	5418	10125	5450	14096	5371	5036
29	8105	5490	10134	5384	14192	5375	5111
30	8102	5396	10064	5329	14765	5399	4682
31	8420	5608	10130	5356	14753	5290	5224
32	8332	5349	10064	5371	14887	5437	5212
33	8500	5533	10067	5368	14904	5365	5278
34	8753	5656	9998	5334	15273	5403	4997
35	8763	5497	9922	5411	15494	5487	5232
36	8763	5427	9845	5350	15651	5427	5243
37	8842	5476	9863	5415	15819	5397	5217
38	8900	5429	9836	5344	15921	5371	5267
39	8973	5446	9918	5455	16080	5373	5200
40	9047	5484	9883	5375	16138	5410	5352
41	9142	5494	9878	5394	16176	5399	5359
42	9253	5515	9830	5356	16351	5404	5229
43	9144	5313	9828	5420	16521	5422	5252
44	9228	5394	10044	5526	16487	5310	5344
45	9296	5352	10009	5249	16476	5284	5295
46	9365	5415	9909	5246	16425	5346	5397
47	9469	5382	9952	5321	15892	5278	5811
48	9841	5611	10037	5324	16045	5239	5086
49	9896	5434	10080	5422	16226	5379	5198
50	10018	5526	10134	5458	16474	5404	5156
51	10094	5487	10148	5425	16728	5411	5157
52	10077	5423	10113	5405	16886	5440	5282
53	10290	5588	10016	5278	16552	5375	5709
54	10220	5342	10021	5417	16650	5412	5314
55	10401	5489	10128	5415	16481	5308	5477
56	10479	5477	10127	5398	16664	5399	5216
57	10575	5423	10089	5289	16544	5327	5447
58	10641	5391	10147	5383	16624	5325	5245
59	10701	5342	10297	5432	16263	5282	5643
60	10928	5496	10246	5218	16280	5269	5252
61	10987	5432	10212	5339	16418	5373	5235
62	11046	5464	10199	5392	16669	5405	5154
63	11148	5453	10257	5409	16691	5351	5329
64	11350	5532	10128	5201	16795	5330	5226
65	11342	5367	10123	5370	16860	5375	5310
66	11512	5489	10196	5392	16482	5319	5697
67	11575	5469	10318	5528	16756	5406	5132
68	11656	5426	10361	5388	16720	5345	5381
69	11807	5485	10244	5217	16847	5334	5207
70	11794	5402	10198	5369	16886	5415	5376
71	12018	5573	10346	5497	16961	5349	5274
72	12132	5530	10308	5378	16869	5416	5508
73	12068	5351	10197	5304	16408	5415	5876
74	12222	5473	10099	5221	16321	5319	5406
75	12239	5400	10222	5506	16491	5383	5213
76	12168	5290	10238	5377	16501	5361	5351
77	12321	5373	10349	5331	16510	5220	5211
78	12359	5376	10267	5256	16458	5338	5390
79	12677	5603	10323	5341	16087	5285	5656
80	12677	5451	10187	5315	16368	5451	5170
81	12796	5512	10290	5496	16586	5393	5175
82	12911	5492	10357	5444	16642	5377	5321
83	13068	5488	10412	5386	16645	5331	5328
84	13155	5513	10370	5384	16727	5426	5344
85	13233	5445	10476	5473	16464	5367	5630
86	13223	5347	10398	5279	16485	5357	5336
87	13420	5496	10454	5355	16407	5299	5377
88	13493	5489	10330	5292	16553	5416	5270
89	13566	5455	10230	5282	16604	5382	5331
90	13581	5425	10274	5454	16800	5410	5214
91	13665	5472	10287	5401	16958	5388	5230
92	13843	5566	10320	5421	16694	5388	5652
93	13884	5508	10231	5378	16779	5467	5382
94	13823	5340	10252	5422	16832	5401	5348
95	13863	5351	10375	5434	16872	5311	5271
96	13947	5375	10499	5415	16974	5291	5189
97	14135	5519	10473	5305	16633	5331	5672
98	14181	5377	10495	5353	16629	5331	5335
99	14263	5449	10407	5279	16341	5367	5655
100	14442	5499	10245	5158	16431	5320	5230
101	14445	5374	10286	5412	16543	5371	5259
102	14402	5344	10389	5490	16652	5387	5278
103	14473	5379	10424	5343	16688	5308	5272
104	14592	5403	10433	5293	16321	5284	5651
105	14610	5440	10555	5544	16343	5422	5400
106	14651	5423	10679	5506	16475	5382	5250
107	14694	5387	10719	5384	16635	5344	5184
108	14679	5261	10632	5189	16610	5276	5301
109	14969	5474	10688	5240	16527	5184	5267
110	15198	5575	10773	5431	16221	5346	5652
111	15233	5512	10580	5284	16504	5477	5194
112	15326	5492	10473	5292	16794	5399	5109
113	15327	5355	10631	5512	16808	5354	5340
114	15543	5504	10655	5312	16881	5288	5215
115	15606	5423	10546	5251	16888	5360	5353
116	15645	5408	10536	5359	16632	5369	5625
117	15896	5547	10523	5283	16628	5296	5300
118	15986	5498	10356	5241	16375	5408	5661
119	16141	5553	10333	5375	16340	5398	5433
120	16067	5357	10319	5417	16570	5431	5201
121	16162	5443	10310	5339	16695	5348	5223
122	16279	5466	10479	5518	16763	5349	5281
123	16284	5330	10599	5445	16804	5325	5284
124	16467	5415	10777	5410	16344	5232	5692
125	16612	5401	10883	5362	16313	5256	5287
126	16846	5539	10898	5320	16340	5305	5278
127	16814	5369	10816	5319	16536	5401	5205
128	17132	5574	10865	5305	16453	5256	5339
129	17170	5473	10775	5345	16739	5435	5149
130	17170	5386	10754	5365	16955	5386	5170
131	17259	5406	10822	5385	16802	5317	5470
132	17367	5459	10857	5386	16761	5351	5392
133	17462	5481	10886	5415	16741	5386	5406
134	17700	5521	10965	5362	16683	5283	5341
135	17869	5489	10893	5248	16334	5320	5669
136	18004	5466	10878	5316	16397	5331	5268
137	18115	5418	10853	5282	16514	5307	5190
138	18302	5520	10932	5412	16643	5333	5204
139	18382	5521	10921	5430	16481	5441	5603
140	18541	5564	10820	5304	16538	5405	5348
141	18544	5464	10765	5406	16706	5461	5293
142	18532	5446	10623	5316	16745	5458	5419
143	18507	5412	10655	5469	16938	5437	5244
144	18488	5273	10718	5355	16957	5292	5273
145	18617	5412	10814	5379	16508	5283	5732
146	18836	5532	10798	5297	16439	5313	5382
147	18894	5441	10709	5294	16651	5383	5171
148	19099	5524	10687	5297	16727	5319	5243
149	19098	5400	10522	5236	16824	5401	5304
150	19267	5551	10559	5419	16579	5382	5627
151	19295	5400	10613	5426	16789	5372	5162
152	19435	5474	10621	5342	16856	5334	5267
153	19536	5470	10639	5387	16781	5369	5444
154	19625	5496	10595	5363	16458	5407	5730
155	19583	5360	10541	5348	16677	5402	5183
156	19730	5481	10562	5355	16774	5334	5237
157	19899	5560	10603	5432	16910	5391	5255
158	19908	5398	10741	5527	16917	5389	5382
159	19859	5408	10685	5401	17123	5457	5251
160	20065	5521	10676	5306	16793	5315	5645
161	20121	5479	10572	5319	16877	5423	5339
162	20224	5489	10508	5322	16848	5386	5415
163	20215	5423	10593	5517	16608	5432	5672
164	20389	5556	10637	5426	16592	5382	5398
165	20398	5498	10597	5449	16846	5489	5235
166	20494	5435	10583	5325	16535	5339	5650
167	20553	5462	10475	5295	16530	5403	5408
168	20681	5458	10551	5406	16541	5330	5319
169	20630	5403	10385	5288	16756	5454	5239
170	20749	5439	10684	5619	16759	5320	5317
171	20864	5401	10730	5332	16686	5286	5359
172	20979	5415	10611	5181	16369	5300	5617
173	21117	5448	10738	5437	16389	5310	5290
174	21118	5382	10622	5265	16503	5381	5267
175	21417	5538	10698	5315	16611	5239	5131
176	21471	5408	10794	5450	16801	5354	5164
177	21526	5387	10807	5345	16847	5332	5286
178	21676	5488	10903	5434	16599	5338	5586
179	21777	5413	10841	5250	16683	5312	5228
180	21847	5458	10781	5328	16424	5388	5647
181	21911	5436	10808	5399	16473	5372	5323
182	21920	5394	10762	5339	16518	5385	5340
183	21980	5416	10773	5367	16580	5356	5294
184	21945	5356	10631	5249	16371	5391	5600
185	22085	5431	10569	5229	16296	5291	5366
186	22185	5404	10673	5408	16300	5304	5300
187	22313	5495	10758	5452	16384	5367	5283
188	22284	5351	10661	5283	16651	5380	5113
189	22286	5302	10719	5358	16678	5300	5273
190	22446	5425	10664	5210	16527	5265	5416
191	22583	5470	10759	5428	16612	5333	5248
192	22625	5408	10681	5288	16351	5366	5627
193	22562	5339	10556	5277	16534	5402	5219
194	22575	5289	10657	5377	16538	5276	5272
195	22897	5575	10713	5309	16476	5253	5315
196	22925	5462	10617	5338	16614	5434	5296
197	23046	5483	10564	5309	16708	5362	5268
198	23124	5477	10605	5440	17014	5399	5093
199	23150	5451	10561	5381	16769	5425	5670
200	23298	5473	10616	5380	16701	5325	5393
201	23315	5362	10658	5387	16801	5345	5245
202	23442	5429	10766	5410	16780	5302	5323
203	23560	5511	10778	5405	16831	5393	5342
204	23689	5515	10835	5443	17037	5386	5180
205	23712	5478	10684	5304	16819	5455	5673
206	23828	5478	10645	5323	16608	5362	5573
207	23903	5418	10669	5367	16465	5343	5486
208	24033	5442	10606	5249	16476	5312	5301
209	24063	5378	10541	5283	16472	5348	5352
210	24229	5482	10738	5513	16401	5316	5387
211	24429	5493	10746	5301	16540	5293	5154
212	24555	5473	10641	5242	16202	5347	5685
213	24647	5474	10604	5345	16358	5382	5226
214	24708	5423	10517	5275	16421	5362	5299
215	24815	5490	10588	5454	16638	5383	5166
216	24656	5232	10467	5270	16775	5391	5254
217	24920	5500	10749	5518	16812	5236	5199
218	24890	5359	10605	5245	16436	5389	5765
219	24941	5325	10590	5259	16406	5274	5304
220	25242	5525	10505	5139	16326	5224	5304
221	25275	5468	10527	5457	16421	5435	5340
222	25451	5557	10470	5324	16706	5381	5096
223	25341	5318	10391	5349	16926	5428	5208
224	25333	5346	10574	5537	16607	5354	5673
225	25531	5490	10580	5298	16481	5292	5418
226	25613	5428	10615	5381	16514	5346	5313
227	25633	5366	10632	5363	16531	5346	5329
228	25861	5507	10669	5316	16546	5279	5264
229	25818	5317	10587	5278	16636	5360	5270
230	25791	5320	10719	5479	16700	5347	5283
231	25962	5427	10858	5395	16336	5256	5620
232	26089	5464	10900	5379	16357	5337	5316
233	26167	5452	10731	5205	16578	5374	5153
234	26206	5386	10718	5334	16627	5347	5298
235	26353	5437	10748	5320	16609	5290	5308
236	26405	5402	10817	5419	16677	5350	5282
237	26432	5414	10681	5251	16755	5387	5309
238	26491	5358	10687	5305	16886	5299	5168
239	26621	5390	10688	5261	16522	5260	5624
240	26701	5373	10759	5364	16540	5293	5275
241	26986	5564	10739	5259	16579	5279	5240
242	26981	5405	10765	5436	16787	5410	5202
243	27064	5421	10675	5248	16439	5338	5686
244	27214	5479	10643	5297	16515	5329	5253
245	27431	5490	10704	5334	16503	5273	5285
246	27412	5416	10619	5350	16298	5435	5640
247	27660	5549	10697	5379	16363	5301	5236
248	27493	5280	10596	5346	16515	5447	5295
249	27737	5491	10696	5347	16375	5247	5387
250	27805	5475	10683	5394	16539	5407	5243
251	27813	5396	10537	5242	16554	5388	5373
252	27994	5493	10535	5310	16779	5312	5087
253	28053	5430	10658	5494	16470	5371	5680
254	28028	5360	10492	5219	16538	5385	5317
255	28197	5459	10458	5256	16555	5290	5273
256	28285	5408	10505	5367	16577	5320	5298
257	28255	5418	10509	5452	16778	5448	5247
258	28284	5437	10302	5201	16982	5408	5204
259	28354	5464	10250	5342	16843	5394	5533
260	28269	5362	10211	5408	16875	5447	5415
261	28452	5511	10454	5571	16951	5328	5252
262	28411	5307	10447	5341	16890	5348	5409
263	28576	5418	10616	5422	16733	5253	5410
264	28605	5403	10617	5375	16787	5374	5320
265	28799	5497	10688	5374	16544	5303	5546
266	28881	5413	10748	5391	16536	5331	5339
267	28903	5464	10773	5467	16435	5442	5543
268	29058	5442	10820	5334	16472	5287	5250
269	29099	5396	10794	5329	16515	5355	5312
270	29197	5368	10868	5344	16471	5270	5314
271	29328	5432	10984	5417	16551	5301	5221
272	29488	5501	11002	5359	16572	5341	5320
273	29506	5506	10914	5400	16523	5488	5537
274	29692	5583	10778	5261	16698	5397	5222
275	29719	5465	10734	5394	16864	5438	5272
276	29633	5343	10745	5440	16916	5429	5377
277	29770	5411	10756	5285	16806	5274	5384
278	29884	5431	10800	5361	16894	5317	5229
279	29991	5434	10729	5256	16499	5327	5722
280	30151	5446	10903	5460	16579	5286	5206
281	30113	5328	10890	5353	16373	5366	5572
282	30354	5488	10945	5302	16243	5247	5377
283	30312	5285	10881	5263	16314	5327	5256
284	30382	5380	10773	5202	16376	5310	5248
285	30619	5521	10754	5265	16599	5284	5061
286	30680	5476	10635	5296	16452	5415	5562
287	30733	5420	10611	5343	16558	5367	5261
288	30945	5598	10594	5369	16708	5386	5236
289	30816	5351	10456	5342	16841	5480	5347
290	30854	5421	10346	5273	16968	5383	5256
291	31028	5438	10340	5258	17022	5264	5210
292	31012	5380	10399	5455	16678	5396	5740
293	31066	5400	10345	5292	16570	5346	5454
294	31094	5370	10374	5371	16328	5342	5584
295	31274	5559	10445	5450	16387	5379	5320
296	31114	5330	10350	5395	16568	5490	5309
297	31204	5393	10434	5387	16694	5303	5177
298	31393	5489	10453	5319	16733	5300	5261
299	31452	5460	10421	5369	16690	5401	5444
300	31665	5579	10373	5318	16403	5366	5653
301	31537	5301	10410	5466	16592	5429	5240
302	31638	5367	10617	5473	16500	5266	5358
303	31858	5548	10749	5460	16535	5328	5293
304	31831	5412	10786	5476	16623	5439	5351
305	32034	5552	10789	5352	16699	5349	5273
306	32114	5533	10648	5312	16522	5453	5630
307	32178	5482	10662	5432	16536	5418	5404
308	32275	5508	10540	5289	16640	5411	5307
309	32340	5446	10472	5313	16697	5381	5324
310	32402	5462	10429	5357	16760	5400	5337
311	32455	5450	10395	5363	17000	5397	5157
312	32478	5457	10306	5345	17091	5434	5343
313	32747	5648	10303	5376	16747	5379	5723
314	32717	5391	10343	5461	16822	5421	5346
315	32885	5568	10261	5318	16488	5400	5734
316	32909	5463	10120	5298	16631	5439	5296
317	32946	5402	10174	5419	16579	5365	5417
318	33081	5498	10158	5347	16619	5363	5323
319	33121	5450	10163	5415	16731	5410	5298
320	33327	5581	10181	5393	16787	5375	5319
321	33315	5415	10200	5446	16659	5427	5555
322	33443	5530	10350	5552	16665	5402	5396
323	33448	5424	10321	5390	16802	5419	5282
324	33530	5507	10223	5327	16734	5425	5493
325	33736	5572	10302	5445	16889	5366	5211
326	33478	5245	10227	5428	17073	5503	5319
327	33688	5440	10371	5374	16562	5230	5741
328	33910	5453	10481	5341	16411	5231	5382
329	33935	5420	10571	5485	16334	5395	5472
330	34014	5417	10565	5332	16567	5338	5105
331	34007	5319	10592	5353	16723	5326	5170
332	34029	5343	10792	5521	16730	5321	5314
333	34137	5503	10796	5399	16863	5395	5262
334	34226	5428	10809	5352	16627	5339	5575
335	34249	5301	10811	5280	16545	5278	5360
336	34571	5541	10903	5311	16517	5219	5247
337	34552	5360	10836	5312	16666	5379	5230
338	34752	5547	10794	5305	16316	5347	5697
339	34874	5485	10753	5322	16500	5363	5179
340	34939	5435	10669	5286	16500	5370	5370
341	35114	5543	10716	5415	16668	5368	5200
342	35200	5508	10802	5508	16588	5422	5502
343	35254	5472	10586	5202	16557	5418	5449
344	35319	5449	10524	5322	16498	5384	5443
345	35437	5490	10615	5463	16624	5372	5246
346	35485	5433	10624	5394	16682	5385	5327
347	35493	5426	10574	5368	16888	5418	5212
348	35594	5505	10565	5395	16622	5404	5670
349	35512	5393	10386	5296	16733	5475	5364
350	35637	5479	10444	5412	16719	5354	5368
351	35632	5376	10392	5329	16833	5381	5267
352	35885	5487	10452	5294	16712	5234	5355
353	35975	5448	10538	5444	16795	5358	5275
354	36124	5512	10607	5432	16430	5363	5728
355	36109	5362	10572	5342	16625	5377	5182
356	36266	5452	10598	5321	16727	5295	5193
357	36422	5495	10755	5496	16741	5339	5325
358	36487	5424	10594	5198	16571	5359	5529
359	36694	5470	10535	5204	16372	5263	5462
360	36843	5440	10548	5304	16512	5291	5151
361	36931	5413	10587	5364	16270	5325	5567
362	37058	5475	10647	5408	16292	5348	5326
363	37115	5422	10675	5393	16443	5365	5214
364	37267	5545	10564	5282	16527	5393	5309
365	37377	5476	10623	5425	16631	5366	5262
366	37388	5453	10627	5446	16805	5442	5268
367	37511	5504	10675	5429	17018	5381	5168
368	37528	5423	10616	5347	16660	5406	5764
369	37506	5400	10569	5375	16627	5422	5455
370	37698	5517	10608	5364	16655	5325	5297
371	37715	5426	10498	5299	16804	5409	5260
372	37850	5433	10444	5244	16827	5298	5275
373	37963	5380	10559	5382	16721	5267	5373
374	38042	5367	10507	5236	16395	5288	5614
375	38217	5460	10638	5416	16533	5285	5147
376	38373	5451	10666	5323	16596	5295	5232
377	38523	5462	10639	5285	16708	5312	5200
378	38601	5430	10627	5340	16413	5352	5647
379	38703	5422	10559	5252	16416	5320	5317
380	38853	5499	10413	5203	16555	5349	5210
381	38907	5436	10397	5366	16240	5382	5697
382	38875	5462	10112	5209	16574	5494	5160
383	38865	5359	10173	5430	16650	5369	5293
384	39027	5454	10399	5518	16675	5292	5267
385	39074	5385	10397	5336	16626	5338	5387
386	39318	5573	10435	5367	16718	5329	5237
387	39365	5471	10438	5427	16928	5424	5214
388	39363	5394	10443	5401	16673	5396	5651
389	39433	5417	10403	5307	16733	5347	5287
390	39501	5439	10402	5370	16824	5371	5280
391	39543	5408	10364	5328	16921	5366	5269
392	39521	5256	10452	5366	16901	5278	5298
393	39491	5267	10505	5350	16900	5297	5298
394	39780	5458	10677	5341	16473	5169	5596
395	39810	5451	10696	5440	16588	5421	5306
396	40019	5511	10680	5286	16297	5302	5593
397	40144	5532	10637	5364	16489	5407	5215
398	40220	5463	10682	5432	16673	5387	5203
399	40399	5515	10749	5403	16890	5336	5119
400	40371	5433	10599	5311	16660	5461	5691
401	40380	5396	10682	5470	16626	5387	5421
402	40550	5502	10622	5272	16583	5332	5375
403	40593	5445	10732	5512	16629	5402	5356
404	40576	5448	10655	5388	16813	5465	5281
405	40605	5374	10617	5307	16862	5345	5296
406	40633	5323	10587	5265	16908	5295	5249
407	40787	5430	10609	5298	16356	5276	5828
408	40887	5432	10625	5348	16329	5332	5359
409	40932	5480	10457	5267	16614	5435	5150
410	40985	5416	10392	5298	16857	5363	5120
411	40973	5366	10346	5332	17005	5378	5230
412	41104	5455	10323	5301	16951	5324	5378
413	41296	5572	10413	5470	17005	5380	5326
414	41264	5468	10293	5380	16853	5500	5652
415	41293	5390	10225	5293	16912	5361	5302
416	41435	5487	10204	5324	16464	5345	5793
