Total demand	5454.545454545457
Total restock	5999.9999999999945
MP	false
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5457	5457	5927	5927	0	0	0
1	5606	5407	6605	5936	5258	5258	0
2	5701	5414	7120	5834	8137	5319	0
3	5931	5538	7588	5776	9874	5308	1535
4	5961	5429	7767	5578	10659	5399	2952
5	6084	5476	8111	5697	11124	5353	3224
6	6065	5425	8299	5632	11708	5444	3532
7	6135	5379	8507	5517	11952	5309	3795
8	6209	5428	8738	5585	12402	5354	3918
9	6311	5410	8849	5419	12691	5308	4078
10	6324	5346	9050	5534	12994	5333	4306
11	6561	5499	9050	5262	13096	5262	4450
12	6579	5375	9021	5328	13341	5357	4476
13	6682	5464	9121	5461	13548	5361	4541
14	6822	5467	9274	5480	13596	5327	4627
15	6878	5395	9291	5356	13771	5339	4640
16	6950	5399	9431	5467	13928	5327	4665
17	7074	5459	9418	5322	14168	5335	4716
18	7083	5346	9465	5384	14113	5337	4930
19	7407	5568	9611	5390	14110	5244	4823
20	7414	5431	9476	5289	14314	5424	4835
21	7563	5406	9675	5456	14266	5257	4868
22	7688	5515	9756	5471	14460	5390	4773
23	7832	5469	9818	5387	14511	5325	4926
24	7940	5483	9987	5544	14713	5375	4857
25	7927	5360	9879	5265	14848	5373	4962
26	8209	5491	10156	5486	14881	5209	4967
27	8332	5481	10070	5272	14840	5358	5163
28	8418	5418	10190	5452	14990	5332	5006
29	8523	5490	10167	5362	15249	5385	4970
30	8561	5396	10113	5304	15476	5358	4985
31	8904	5608	10152	5304	15497	5265	5156
32	8815	5349	10046	5332	15787	5438	5086
33	9041	5533	10099	5360	15836	5307	5177
34	9284	5656	9991	5305	16293	5413	4926
35	9339	5497	9940	5391	16510	5442	5183
36	9360	5427	9830	5296	16786	5406	5104
37	9446	5476	9847	5407	17003	5390	5160
38	9501	5429	9797	5324	17150	5374	5212
39	9568	5446	9823	5405	17390	5379	5133
40	9650	5484	9800	5379	17543	5402	5248
41	9767	5494	9834	5411	17713	5377	5202
42	9934	5515	9806	5320	17886	5348	5175
43	9868	5313	9839	5412	18133	5379	5132
44	9998	5394	10072	5497	18197	5264	5200
45	10042	5352	10021	5257	18391	5308	5114
46	10165	5415	9958	5229	18357	5292	5326
47	10256	5382	9983	5316	18434	5291	5214
48	10633	5611	10019	5270	18669	5234	4999
49	10701	5434	10075	5422	18885	5366	5150
50	10847	5526	10118	5423	19142	5380	5123
51	10943	5487	10154	5427	19524	5391	5009
52	10938	5423	10154	5428	19779	5428	5173
53	11179	5588	10062	5255	19948	5347	5178
54	11086	5342	10061	5434	20256	5435	5127
55	11263	5489	10120	5371	20260	5312	5308
56	11399	5477	10137	5358	20505	5341	5096
57	11487	5423	10046	5244	20513	5335	5327
58	11587	5391	10095	5340	20613	5291	5191
59	11658	5342	10238	5414	20738	5271	5146
60	11900	5496	10191	5207	20897	5254	5095
61	11954	5432	10129	5316	21143	5378	5132
62	12086	5464	10139	5342	21427	5332	5048
63	12228	5453	10232	5404	21589	5311	5149
64	12471	5532	10152	5209	21707	5289	5171
65	12470	5367	10127	5343	21923	5368	5152
66	12677	5489	10203	5358	22051	5282	5154
67	12737	5469	10288	5494	22455	5409	5005
68	12822	5426	10350	5403	22613	5341	5183
69	12991	5485	10245	5211	22864	5316	5065
70	13008	5402	10221	5361	22975	5385	5274
71	13231	5573	10334	5463	23223	5350	5102
72	13388	5530	10289	5328	23517	5373	5079
73	13383	5351	10257	5324	23597	5356	5276
74	13589	5473	10141	5151	23703	5267	5161
75	13610	5400	10280	5518	23985	5379	5097
76	13550	5290	10310	5380	24126	5350	5209
77	13659	5373	10362	5316	24323	5264	5067
78	13732	5376	10283	5224	24381	5303	5245
79	14074	5603	10319	5297	24438	5261	5204
80	14133	5451	10205	5278	24754	5392	5076
81	14280	5512	10297	5457	25010	5365	5109
82	14423	5492	10346	5398	25234	5349	5125
83	14599	5488	10404	5370	25351	5312	5195
84	14686	5513	10335	5357	25649	5426	5128
85	14853	5445	10455	5398	25785	5278	5142
86	14854	5347	10380	5271	26041	5346	5090
87	15036	5496	10434	5368	26064	5314	5291
88	15108	5489	10299	5282	26421	5417	5060
89	15232	5455	10241	5273	26579	5331	5173
90	15263	5425	10283	5436	26807	5394	5166
91	15311	5472	10233	5374	27084	5424	5147
92	15502	5566	10231	5373	27443	5375	5016
93	15571	5508	10115	5323	27625	5439	5257
94	15530	5340	10136	5402	27761	5381	5245
95	15633	5351	10298	5410	27923	5248	5086
96	15735	5375	10421	5396	28099	5273	5097
97	15960	5519	10409	5282	28183	5294	5210
98	16040	5377	10483	5371	28392	5297	5088
99	16181	5449	10446	5271	28555	5308	5145
100	16376	5499	10284	5142	28793	5304	5066
101	16367	5374	10286	5385	29040	5383	5136
102	16306	5344	10276	5395	29301	5405	5144
103	16397	5379	10315	5327	29435	5288	5154
104	16490	5403	10321	5316	29605	5310	5140
105	16565	5440	10466	5510	29774	5365	5196
106	16598	5423	10584	5508	30004	5390	5160
107	16642	5387	10605	5364	30265	5343	5082
108	16625	5261	10519	5192	30312	5278	5231
109	16952	5474	10584	5212	30267	5147	5192
110	17176	5575	10649	5416	30545	5351	5073
111	17280	5512	10503	5262	30981	5408	4972
112	17415	5492	10449	5303	31399	5357	4939
113	17398	5355	10572	5495	31606	5372	5165
114	17642	5504	10620	5308	31760	5260	5106
115	17719	5423	10526	5252	31964	5346	5142
116	17775	5408	10524	5350	32114	5352	5202
117	18028	5547	10540	5310	32307	5294	5101
118	18102	5498	10324	5208	32562	5424	5169
119	18287	5553	10281	5325	32717	5368	5213
120	18222	5357	10273	5414	33085	5422	5054
121	18349	5443	10316	5359	33265	5316	5136
122	18450	5466	10489	5538	33507	5365	5123
123	18514	5330	10603	5380	33624	5266	5149
124	18722	5415	10779	5383	33729	5207	5102
125	18902	5401	10865	5307	33843	5221	5107
126	19155	5539	10841	5262	34047	5286	5082
127	19166	5369	10769	5286	34242	5358	5163
128	19457	5574	10749	5263	34331	5283	5194
129	19530	5473	10681	5332	34702	5400	5029
130	19532	5386	10675	5378	34994	5384	5092
131	19664	5406	10770	5369	35289	5274	4979
132	19795	5459	10833	5391	35437	5328	5180
133	19970	5481	10910	5383	35513	5306	5230
134	20184	5521	10927	5324	35662	5307	5158
135	20432	5489	10905	5219	35746	5241	5157
136	20523	5466	10839	5309	36099	5375	5022
137	20638	5418	10836	5300	36315	5303	5087
138	20827	5520	10904	5399	36632	5331	5014
139	20921	5521	10867	5390	36888	5427	5171
140	21095	5564	10787	5310	37199	5390	5079
141	21130	5464	10761	5403	37445	5429	5183
142	21168	5446	10666	5313	37620	5408	5233
143	21150	5412	10642	5406	37915	5430	5135
144	21191	5273	10704	5294	37977	5232	5170
145	21338	5412	10807	5368	38006	5265	5236
146	21604	5532	10855	5314	38114	5266	5158
147	21666	5441	10738	5262	38553	5379	4940
148	21910	5524	10707	5249	38705	5280	5128
149	21899	5400	10521	5225	38996	5411	5120
150	22160	5551	10654	5423	39173	5290	5113
151	22175	5400	10696	5427	39529	5385	5029
152	22362	5474	10701	5292	39662	5287	5154
153	22452	5470	10694	5373	39826	5380	5216
154	22569	5496	10668	5353	39996	5379	5209
155	22516	5360	10591	5336	40380	5413	5029
156	22732	5481	10648	5322	40551	5265	5094
157	22895	5560	10675	5424	40805	5397	5143
158	22921	5398	10843	5540	40908	5372	5269
159	22902	5408	10765	5349	41271	5427	5064
160	23135	5521	10769	5292	41477	5288	5082
161	23218	5479	10693	5320	41712	5396	5161
162	23285	5489	10565	5294	41996	5422	5138
163	23382	5423	10688	5449	42167	5326	5155
164	23603	5556	10713	5360	42301	5335	5201
165	23664	5498	10703	5427	42555	5437	5183
166	23735	5435	10675	5336	42754	5364	5165
167	23793	5462	10547	5276	43010	5404	5148
168	23899	5458	10592	5397	43169	5352	5193
169	23880	5403	10464	5294	43436	5422	5155
170	23988	5439	10712	5579	43573	5331	5194
171	24162	5401	10774	5289	43591	5227	5209
172	24266	5415	10620	5157	43721	5311	5181
173	24360	5448	10702	5436	43955	5354	5120
174	24413	5382	10595	5222	44197	5329	5087
175	24711	5538	10666	5311	44332	5240	5105
176	24757	5408	10756	5452	44635	5362	5059
177	24804	5387	10741	5325	44887	5340	5088
178	24966	5488	10856	5441	45068	5326	5145
179	25088	5413	10803	5238	45259	5291	5100
180	25184	5458	10701	5260	45442	5362	5179
181	25258	5436	10687	5348	45732	5362	5072
182	25319	5394	10638	5284	45814	5333	5251
183	25419	5416	10651	5329	45960	5316	5170
184	25379	5356	10508	5253	46167	5396	5189
185	25557	5431	10463	5208	46282	5253	5138
186	25683	5404	10572	5387	46395	5278	5165
187	25843	5495	10661	5424	46660	5335	5070
188	25818	5351	10584	5299	47005	5376	5031
189	25813	5302	10645	5368	47170	5307	5142
190	26009	5425	10661	5245	47223	5229	5176
191	26147	5470	10754	5425	47383	5332	5172
192	26209	5408	10698	5290	47540	5346	5189
193	26167	5339	10617	5300	47912	5381	5009
194	26177	5289	10683	5345	47945	5279	5246
195	26480	5575	10704	5293	48108	5272	5109
196	26522	5462	10629	5345	48265	5420	5263
197	26687	5483	10576	5265	48456	5318	5127
198	26766	5477	10616	5438	48838	5398	5016
199	26840	5451	10567	5328	49026	5377	5189
200	26984	5473	10605	5367	49259	5329	5096
201	26998	5362	10630	5373	49449	5348	5158
202	27160	5429	10740	5377	49544	5267	5172
203	27305	5511	10743	5369	49723	5366	5187
204	27489	5515	10830	5418	49947	5331	5107
205	27523	5478	10682	5296	50300	5444	5091
206	27672	5478	10644	5291	50554	5329	5075
207	27806	5418	10700	5340	50655	5284	5183
208	27925	5442	10626	5249	50784	5323	5194
209	28008	5378	10622	5291	50882	5295	5197
210	28194	5482	10781	5455	50992	5296	5186
211	28390	5493	10778	5294	51234	5297	5055
212	28482	5473	10605	5208	51451	5381	5164
213	28559	5474	10583	5375	51810	5397	5038
214	28660	5423	10510	5249	52035	5322	5097
215	28792	5490	10618	5466	52285	5358	5108
216	28643	5232	10511	5274	52511	5381	5155
217	28922	5500	10791	5501	52629	5221	5103
218	28964	5359	10719	5245	52699	5317	5247
219	29030	5325	10668	5208	52776	5259	5182
220	29312	5525	10574	5149	52900	5243	5119
221	29362	5468	10574	5418	53147	5418	5171
222	29545	5557	10530	5330	53472	5374	5049
223	29451	5318	10464	5346	53815	5412	5069
224	29454	5346	10654	5533	53936	5343	5222
225	29673	5490	10685	5302	53962	5271	5245
226	29760	5428	10677	5333	54181	5341	5122
227	29801	5366	10665	5313	54352	5325	5154
228	30070	5507	10720	5293	54473	5238	5117
229	30014	5317	10598	5251	54658	5373	5188
230	30019	5320	10703	5420	54808	5315	5165
231	30225	5427	10843	5361	54911	5221	5118
232	30386	5464	10887	5347	55098	5303	5116
233	30493	5452	10760	5218	55341	5345	5102
234	30564	5386	10760	5315	55528	5315	5128
235	30711	5437	10749	5279	55642	5290	5176
236	30793	5402	10848	5419	55840	5320	5122
237	30830	5414	10711	5240	56038	5377	5179
238	30918	5358	10714	5273	56270	5270	5038
239	31056	5390	10744	5282	56404	5252	5118
240	31170	5373	10842	5357	56571	5259	5092
241	31451	5564	10806	5247	56740	5283	5114
242	31485	5405	10836	5401	57094	5371	5017
243	31570	5421	10724	5224	57245	5336	5185
244	31754	5479	10710	5281	57496	5295	5044
245	31974	5490	10794	5354	57601	5270	5165
246	32043	5416	10721	5274	57815	5347	5133
247	32289	5549	10762	5344	57992	5303	5126
248	32196	5280	10706	5317	58262	5373	5103
249	32397	5491	10771	5355	58336	5290	5216
250	32500	5475	10779	5380	58577	5372	5131
251	32509	5396	10600	5208	58742	5387	5222
252	32764	5493	10655	5293	58905	5238	5075
253	32871	5430	10782	5450	59026	5323	5202
254	32851	5360	10570	5168	59290	5380	5116
255	33038	5459	10507	5209	59507	5272	5055
256	33074	5408	10486	5351	59724	5372	5155
257	33094	5418	10512	5424	59987	5398	5135
258	33120	5437	10309	5208	60237	5411	5161
259	33192	5464	10258	5341	60564	5392	5065
260	33139	5362	10210	5367	60792	5415	5187
261	33364	5511	10447	5523	60934	5286	5144
262	33334	5307	10397	5287	60963	5337	5308
263	33524	5418	10563	5394	60972	5228	5219
264	33551	5403	10575	5388	61233	5376	5115
265	33734	5497	10632	5371	61461	5314	5086
266	33842	5413	10724	5397	61660	5305	5106
267	33915	5464	10761	5428	61879	5391	5172
268	34064	5442	10784	5316	62115	5293	5057
269	34112	5396	10765	5329	62346	5348	5117
270	34208	5368	10775	5282	62370	5272	5248
271	34376	5432	10910	5399	62566	5264	5068
272	34568	5501	10924	5323	62651	5309	5224
273	34584	5506	10851	5417	63087	5490	5054
274	34786	5583	10687	5217	63368	5381	5100
275	34828	5465	10628	5364	63613	5423	5178
276	34778	5343	10633	5398	63735	5393	5271
277	34917	5411	10638	5277	63840	5272	5167
278	35092	5431	10727	5345	63956	5256	5140
279	35201	5434	10623	5221	64068	5325	5213
280	35346	5446	10772	5450	64319	5301	5050
281	35320	5328	10781	5363	64595	5354	5078
282	35573	5488	10814	5268	64658	5235	5172
283	35555	5285	10760	5249	64818	5303	5143
284	35653	5380	10666	5188	64904	5282	5196
285	35902	5521	10646	5252	65243	5272	4933
286	36013	5476	10563	5282	65483	5365	5125
287	36065	5420	10537	5342	65769	5368	5082
288	36292	5598	10559	5393	66011	5371	5129
289	36196	5351	10442	5330	66274	5447	5184
290	36278	5421	10386	5283	66504	5339	5109
291	36408	5438	10339	5261	66707	5308	5105
292	36400	5380	10396	5445	66840	5388	5255
293	36466	5400	10331	5269	66924	5334	5250
294	36489	5370	10364	5380	67185	5347	5086
295	36722	5559	10456	5418	67357	5326	5154
296	36605	5330	10395	5386	67576	5447	5228
297	36716	5393	10480	5367	67797	5282	5061
298	36955	5489	10550	5320	68017	5250	5030
299	37011	5460	10450	5304	68066	5404	5355
300	37210	5579	10389	5319	68347	5380	5099
301	37077	5301	10385	5430	68726	5434	5055
302	37170	5367	10572	5461	68805	5274	5195
303	37444	5548	10739	5441	68914	5274	5165
304	37441	5412	10792	5468	69016	5415	5313
305	37644	5552	10796	5353	69280	5349	5085
306	37751	5533	10689	5319	69620	5426	5086
307	37824	5482	10705	5425	69760	5409	5269
308	37979	5508	10660	5308	69951	5353	5162
309	38035	5446	10513	5243	70156	5390	5185
310	38098	5462	10445	5331	70350	5399	5205
311	38111	5450	10342	5334	70718	5437	5069
312	38172	5457	10261	5315	70924	5396	5190
313	38446	5648	10286	5399	71069	5374	5229
314	38408	5391	10304	5447	71263	5429	5235
315	38607	5568	10211	5276	71450	5369	5182
316	38639	5463	10088	5308	71707	5431	5174
317	38708	5402	10148	5393	71789	5333	5251
318	38851	5498	10101	5308	71965	5355	5179
319	38891	5450	10094	5403	72209	5410	5166
320	39112	5581	10126	5392	72366	5360	5203
321	39130	5415	10170	5441	72676	5397	5087
322	39303	5530	10336	5523	72887	5357	5146
323	39340	5424	10292	5343	73117	5387	5157
324	39439	5507	10218	5334	73176	5408	5349
325	39662	5572	10288	5419	73431	5349	5094
326	39409	5245	10213	5423	73767	5498	5162
327	39638	5440	10358	5356	73714	5211	5264
328	39837	5453	10410	5306	73772	5254	5196
329	39893	5420	10542	5496	73771	5364	5365
330	39976	5417	10536	5328	74131	5334	4974
331	39981	5319	10505	5283	74347	5314	5098
332	39997	5343	10673	5495	74497	5327	5177
333	40175	5503	10740	5392	74650	5325	5172
334	40342	5428	10810	5331	74805	5261	5106
335	40382	5301	10778	5229	74894	5261	5172
336	40691	5541	10885	5339	75040	5232	5086
337	40689	5360	10815	5292	75330	5362	5072
338	40881	5547	10768	5308	75551	5355	5134
339	41032	5485	10694	5260	75881	5334	5004
340	41120	5435	10612	5265	76012	5347	5216
341	41311	5543	10646	5386	76254	5352	5110
342	41422	5508	10755	5506	76627	5397	5024
343	41522	5472	10588	5205	76810	5372	5189
344	41612	5449	10533	5304	76933	5359	5236
345	41729	5490	10579	5419	77148	5373	5158
346	41792	5433	10588	5379	77353	5370	5165
347	41811	5426	10549	5368	77637	5407	5123
348	41928	5505	10513	5352	77816	5388	5209
349	41859	5393	10364	5313	78161	5462	5117
350	41984	5479	10396	5386	78250	5354	5265
351	41999	5376	10381	5346	78453	5361	5158
352	42235	5487	10393	5263	78492	5251	5212
353	42369	5448	10488	5409	78606	5314	5200
354	42517	5512	10553	5429	78793	5364	5177
355	42524	5362	10508	5310	79141	5355	5007
356	42682	5452	10521	5307	79322	5294	5113
357	42839	5495	10663	5480	79511	5338	5149
358	42914	5424	10551	5237	79852	5349	5008
359	43120	5470	10524	5237	79890	5264	5226
360	43305	5440	10574	5305	80042	5255	5103
361	43394	5413	10567	5317	80295	5324	5071
362	43518	5475	10623	5407	80560	5351	5086
363	43568	5422	10611	5360	80840	5372	5092
364	43792	5545	10524	5234	80947	5321	5214
365	43896	5476	10554	5402	81186	5372	5133
366	43989	5453	10580	5386	81380	5360	5166
367	44129	5504	10624	5408	81707	5364	5037
368	44143	5423	10557	5342	81920	5409	5196
369	44164	5400	10533	5355	82140	5379	5159
370	44362	5517	10535	5321	82288	5319	5171
371	44399	5426	10415	5269	82500	5389	5177
372	44545	5433	10345	5217	82660	5287	5127
373	44643	5380	10427	5364	82748	5282	5194
374	44721	5367	10367	5229	82923	5289	5114
375	44879	5460	10482	5417	83192	5302	5033
376	45091	5451	10543	5300	83249	5239	5182
377	45262	5462	10547	5295	83454	5291	5086
378	45369	5430	10577	5353	83530	5323	5247
379	45474	5422	10492	5232	83758	5317	5089
380	45691	5499	10435	5225	83986	5282	5054
381	45758	5436	10394	5328	84188	5369	5167
382	45752	5462	10093	5167	84668	5468	4988
383	45779	5359	10184	5423	84821	5332	5179
384	45917	5454	10364	5496	84969	5316	5168
385	46012	5385	10389	5315	85007	5290	5252
386	46279	5573	10402	5319	85172	5306	5141
387	46356	5471	10405	5397	85493	5394	5073
388	46386	5394	10388	5347	85699	5364	5158
389	46475	5417	10383	5323	85894	5328	5133
390	46548	5439	10396	5379	86123	5366	5137
391	46580	5408	10356	5336	86385	5376	5114
392	46588	5256	10458	5350	86443	5248	5190
393	46584	5267	10500	5313	86553	5271	5161
394	46855	5458	10641	5328	86607	5187	5133
395	46927	5451	10707	5445	86824	5379	5162
396	47141	5511	10664	5254	87070	5297	5051
397	47298	5532	10644	5355	87443	5375	5002
398	47363	5463	10644	5398	87700	5398	5141
399	47527	5515	10690	5397	87962	5351	5089
400	47526	5433	10567	5311	88277	5434	5119
401	47587	5396	10669	5437	88441	5335	5171
402	47753	5502	10569	5236	88561	5336	5216
403	47814	5445	10708	5523	88695	5384	5250
404	47844	5448	10666	5376	88944	5418	5169
405	47877	5374	10593	5268	89163	5341	5122
406	47940	5323	10603	5270	89235	5260	5188
407	48103	5430	10609	5273	89274	5267	5228
408	48194	5432	10603	5335	89465	5341	5150
409	48290	5480	10465	5246	89773	5384	5076
410	48346	5416	10382	5277	90104	5360	5029
411	48366	5366	10371	5335	90366	5346	5084
412	48497	5455	10318	5271	90451	5324	5239
413	48681	5572	10399	5469	90679	5388	5160
414	48662	5468	10269	5357	91071	5487	5095
415	48758	5390	10273	5298	91171	5294	5194
416	48909	5487	10196	5259	91368	5336	5139
