Total demand	5454.545454545457
Total restock	5999.9999999999945
MP	true
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5457	5457	5927	5927	0	0	0
1	6298	5407	7229	5868	4566	4566	0
2	6976	5414	8119	5626	8134	4736	0
3	7605	5538	8827	5617	9363	4909	2373
4	8087	5429	9303	5423	10949	4947	2389
5	8640	5476	9804	5424	10764	4923	4046
6	8990	5425	10098	5369	12007	5075	3131
7	9309	5379	10340	5302	11632	5060	4656
8	9661	5428	10689	5425	12609	5076	3549
9	10014	5410	10798	5166	12168	5057	4931
10	10254	5346	11039	5347	13059	5106	3873
11	10666	5499	11097	5145	12783	5087	5040
12	10777	5375	11004	5171	13532	5264	4179
13	11099	5464	11165	5303	13295	5142	5073
14	11323	5467	11194	5272	13874	5243	4358
15	11499	5395	11252	5277	13567	5219	5279
16	11611	5399	11342	5377	14037	5287	4543
17	11872	5459	11346	5202	13745	5198	5249
18	11958	5346	11345	5259	13942	5260	4821
19	12280	5568	11462	5363	13850	5246	5116
20	12327	5431	11310	5232	14190	5384	4834
21	12446	5406	11442	5419	14180	5287	5133
22	12636	5515	11482	5365	14446	5325	4813
23	12663	5469	11393	5353	14236	5442	5505
24	12636	5483	11376	5493	14768	5510	4823
25	12529	5360	11270	5361	14654	5467	5429
26	12693	5491	11412	5469	14907	5327	4988
27	12788	5481	11349	5323	14638	5386	5619
28	12744	5418	11429	5542	15147	5462	4948
29	12856	5490	11423	5372	14927	5378	5558
30	12815	5396	11276	5290	15373	5437	4983
31	13060	5608	11264	5351	14997	5363	5717
32	12947	5349	11116	5314	15367	5462	5090
33	13184	5533	11179	5359	15091	5296	5572
34	13394	5656	11059	5326	15398	5446	5139
35	13394	5497	10961	5399	15223	5497	5672
36	13346	5427	10858	5372	15607	5475	5091
37	13371	5476	10875	5468	15527	5451	5531
38	13382	5429	10838	5381	15624	5418	5321
39	13362	5446	10874	5502	15446	5466	5644
40	13426	5484	10834	5380	15555	5420	5311
41	13489	5494	10832	5429	15359	5431	5627
42	13532	5515	10751	5391	15387	5472	5444
43	13388	5313	10801	5507	15384	5457	5460
44	13357	5394	10970	5594	15411	5425	5398
45	13296	5352	10814	5257	15224	5413	5600
46	13345	5415	10763	5315	15182	5366	5408
47	13323	5382	10725	5366	15072	5404	5514
48	13563	5611	10791	5437	15299	5371	5144
49	13478	5434	10758	5486	15307	5519	5511
50	13621	5526	10899	5524	15337	5383	5353
51	13677	5487	10857	5389	15378	5431	5390
52	13646	5423	10935	5532	15284	5454	5548
53	13801	5588	10874	5372	15288	5433	5429
54	13639	5342	10913	5543	15414	5504	5378
55	13722	5489	10980	5473	15427	5406	5393
56	13735	5477	11069	5553	15451	5464	5440
57	13725	5423	10910	5274	15287	5433	5597
58	13665	5391	10876	5417	15394	5451	5344
59	13557	5342	10900	5474	15473	5450	5371
60	13673	5496	10874	5354	15402	5380	5451
61	13671	5432	10836	5396	15417	5434	5419
62	13685	5464	10863	5477	15393	5450	5474
63	13704	5453	10931	5502	15401	5434	5426
64	13818	5532	10863	5350	15249	5418	5570
65	13716	5367	10769	5375	15269	5469	5449
66	13795	5489	10765	5406	15360	5410	5319
67	13740	5469	10823	5582	15429	5524	5455
68	13706	5426	10839	5476	15437	5460	5452
69	13776	5485	10713	5289	15397	5415	5455
70	13742	5402	10761	5484	15290	5436	5543
71	13877	5573	10913	5590	15334	5438	5394
72	13928	5530	10888	5454	15299	5479	5514
73	13774	5351	10855	5472	15314	5505	5490
74	13825	5473	10736	5303	15263	5422	5473
75	13791	5400	10862	5560	15421	5434	5276
76	13613	5290	10780	5386	15315	5468	5574
77	13601	5373	10852	5457	15332	5385	5368
78	13516	5376	10675	5284	15305	5461	5488
79	13784	5603	10775	5435	15296	5335	5344
80	13792	5451	10681	5349	15413	5443	5326
81	13839	5512	10774	5558	15452	5465	5426
82	13864	5492	10840	5533	15448	5467	5471
83	13902	5488	10888	5498	15359	5450	5539
